ID,Title,Author,Abstract,Year,Venue,Search String
40,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",Manon Galloy|Martin Balfroid|Benoît Vanderose|Xavier Devroey,"While state-of-the-art large language models (LLMs) show great potential for automating various Behavioral-Driven Development (BDD) related tasks, such as test generation, smaller models depend on high-quality data, which are challenging to find in sufficient quantity. To address this challenge, we adapt the SELF-INSTRUCT method to generate a large synthetic dataset from a small set of human-written high-quality scenarios. We evaluate the impact of the initial seeded scenarios’ quality on the generated scenarios by generating two synthetic datasets: one from 175 high-quality seeds and one from 175 seeds that did not meet all quality criteria. We performed a qualitative analysis using state-of-the-art quality criteria and found that the quality of seeds does not significantly influence the generation of complete and essential scenarios. However, it impacts the scenarios’ capability to focus on a single action and outcome and their compliance with Gherkin syntactic rules. During our evaluation, we also found that while raters agreed on whether a scenario was of high quality or not, they often disagreed on individual criteria, indicating a need for quality criteria easier to apply in practice.",2025,,String B
41,From What to How: Bridging User Requirements with Software Development Using Large Language Models,Xiao He|Ru Chen|Jialun Cao,"Recently, large language models (LLMs) are extensively utilized to enhance development efficiency, leading to numerous benchmarks for evaluating their performance. However, these benchmarks predominantly focus on implementation, overlooking the equally critical aspect of software design. This gap raises two pivotal questions: (1) Can LLMs handle software design? (2) Can LLMs write code following the specific designs? To investigate these questions, this paper proposes DesBench, a design-aware benchmark for evaluating LLMs on three software design-related tasks: design-aware code generation, object-oriented modeling, and the design of acceptance test cases. DesBench comprises 30 manually crafted Java projects that include requirement documents, design models, implementations, and acceptance tests, amounting to a total of 30 design models, 194 Java classes, and 737 test cases. We evaluated seven state-of-the-art LLMs, including three DeepSeek R1, two Qwen2.5, and two GPT models, using DesBench. The results reveal that LLMs remain significantly challenged by the intricacies of software design: (1) For code generation, LLMs struggle to produce correct implementations when provided with only high-level or no designs. (2) In object-oriented modeling, while LLMs can accurately identify objects and classes, they face challenges in defining operations and inter-class relationships. (3) Acceptance test cases generated by LLMs from functional requirements achieve code coverage quality comparable to those written by humans. Our research highlights the current limitations of LLMs in managing software design and calls for further investigation into new design methodologies and languages suitable for LLM-based development.",2026,Open MIND,String B
42,From What to How: Bridging User Requirements with Software Development Using Large Language Models,Xiao He|Ru Chen|Jialun Cao,"Recently, large language models (LLMs) are extensively utilized to enhance development efficiency, leading to numerous benchmarks for evaluating their performance. However, these benchmarks predominantly focus on implementation, overlooking the equally critical aspect of software design. This gap raises two pivotal questions: (1) Can LLMs handle software design? (2) Can LLMs write code following the specific designs? To investigate these questions, this paper proposes DesBench, a design-aware benchmark for evaluating LLMs on three software design-related tasks: design-aware code generation, object-oriented modeling, and the design of acceptance test cases. DesBench comprises 30 manually crafted Java projects that include requirement documents, design models, implementations, and acceptance tests, amounting to a total of 30 design models, 194 Java classes, and 737 test cases. We evaluated seven state-of-the-art LLMs, including three DeepSeek R1, two Qwen2.5, and two GPT models, using DesBench. The results reveal that LLMs remain significantly challenged by the intricacies of software design: (1) For code generation, LLMs struggle to produce correct implementations when provided with only high-level or no designs. (2) In object-oriented modeling, while LLMs can accurately identify objects and classes, they face challenges in defining operations and inter-class relationships. (3) Acceptance test cases generated by LLMs from functional requirements achieve code coverage quality comparable to those written by humans. Our research highlights the current limitations of LLMs in managing software design and calls for further investigation into new design methodologies and languages suitable for LLM-based development.",2026,arXiv (Cornell University),String B
43,A comparative experiment of the effectiveness of different LLM in generating Gherkin scenarios.,Hiago Natan Fernandes de. SOUSA,"OBehavior-Driven Development (BDD) é essencial no desenvolvimento de software mod erno, com a linguagem Gherkin sendo crucial para especificar cenários de teste. No entanto, a criação manual desses cenários é demorada e propensa a erros. Os Grandes Modelos de Linguagem (LLM) surgem como uma solução inovadora para automatizar e otimizar esse processo, oferecendo uma alternativa mais eficiente e confiável. Neste estudo, investigamos a eficácia de seis LLM (GPT-3.5 Turbo, GPT-4 Turbo, GPT 4o Mini, LLaMA 3, Phi-3 e Gemini) na geração automatizada de cenários Gherkin a partir de 1.286 cenários de teste reais. Aplicamos diferentes técnicas de prompting, como zero shot, one-shot e few-shot, para avaliar a qualidade e a consistência das saídas produzidas. O objetivo foi identificar a técnica e o modelo mais adequados para a criação de cenários BDD. Para conduzir a análise, foram selecionadas medidas de avaliação de qualidade e variabil idade, que foram correlacionadas com avaliações qualitativas realizadas por especialistas. Isso garantiu a escolha de métricas representativas que refletem adequadamente a qualidade dos cenários gerados. Além disso, análises estatísticas foram realizadas para verificar a ex istência de diferenças significativas entre os modelos e técnicas aplicadas, assegurando a robustez metodológica do estudo. A análise de variabilidade apontou que a consistência dos modelos depende da técnica utilizada: em zero-shot, o Gemini foi mais consistente, enquanto LLaMA 3 e GPT-3.5 Turbo apresentaram maior variabilidade. Em one-shot, GPT-4o Mini e GPT-4 Turbo se destacaram pela estabilidade, ao passo que em few-shot, GPT-4o Mini e LLaMA 3 foram os mais es táveis. A análise de desempenho revelou que a técnica zero-shot foi a mais eficaz em diversos contextos, especialmente quando aplicada ao modelo Gemini. No entanto, análises estatís ticas, como o teste de Kruskal-Wallis, demonstraram que as diferenças observadas entre os modelos não foram estatisticamente significativas.",2025,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),String B
44,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,Pedro Luís Fonseca|Bruno Lima|João Pascoal Faria,"Mobile acceptance testing remains a bottleneck in modern software development, particularly for cross-platform mobile development using frameworks like Flutter. While developers increasingly rely on automated testing tools, creating and maintaining acceptance test artifacts still demands significant manual effort. To help tackle this issue, we introduce AToMIC, an automated framework leveraging specialized Large Language Models to generate Gherkin scenarios, Page Objects, and executable UI test scripts directly from requirements (JIRA tickets) and recent code changes. Applied to BMW’s MyBMW app, covering 13 real-world issues in a 170+ screen codebase, AToMIC produced executable test artifacts in under five minutes per feature on standard hardware. The generated artifacts were of high quality: 93.3% of Gherkin scenarios were syntactically correct upon generation, 78.8% of PageObjects ran without manual edits, and 100% of generated UI tests executed successfully. In a survey, all practitioners reported time savings (often a full developer-day per feature) and strong confidence in adopting the approach. These results confirm AToMIC as a scalable, practical solution for streamlining acceptance test creation and maintenance in industrial mobile projects.",2025,,String B
45,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,Pedro Luís Fonseca|Bruno Lima|João Pascoal Faria,,2025,,String B
46,Enhancing Security Control Production With Generative AI,Ling Chen|Mina Ghashami|Vianne R. Gao|Ali Torkamani|Ruslan Vaulin|Nivedita Mangam|Bhavya Jain|Farhan Diwan|Malini SS|Mingyue Cheng|S. D. Madhu Kumar|Felix Candelario,"Security controls are mechanisms or policies designed for cloud based services to reduce risk, protect information, and ensure compliance with security regulations. The development of security controls is traditionally a labor-intensive and time-consuming process. This paper explores the use of Generative AI to accelerate the generation of security controls. We specifically focus on generating Gherkin codes which are the domain-specific language used to define the behavior of security controls in a structured and understandable format. By leveraging large language models and in-context learning, we propose a structured framework that reduces the time required for developing security controls from 2-3 days to less than one minute. Our approach integrates detailed task descriptions, step-by-step instructions, and retrieval-augmented generation to enhance the accuracy and efficiency of the generated Gherkin code. Initial evaluations on AWS cloud services demonstrate promising results, indicating that GenAI can effectively streamline the security control development process, thus providing a robust and dynamic safeguard for cloud-based infrastructures.",2024,arXiv (Cornell University),String B
47,Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,Ali Hassaan Mughal|Noor Fatima|Muhammad Bilal,"Context. Behaviour-Driven Development (BDD) software test suites accumulate duplicated step subsequences. Three published refactoring patterns are available (within-file Background, within-repo reusable-scenario invocation, cross-organisational shared higher-level step), but no prior work automates which recurring subsequences are worth extracting or which mechanism applies. Objective. Rank recurring step subsequences (""slices"") by refactoring suitability (extraction-worthy), pre-map each to one of the three patterns, and quantify prevalence across the public BDD ecosystem. Method. Every contiguous L-step window (L in [2, 18]) in a 339-repository / 276-upstream-owner Gherkin corpus is keyed by paraphrase-robust cluster identifiers and counted under three scopes. Sentence-BERT (SBERT) / Uniform Manifold Approximation and Projection (UMAP) / Hierarchical Density-Based Clustering (HDBSCAN) recovers paraphrase-equivalent slices. Three authors label a stratified 200-slice pool against a written rubric. An eXtreme Gradient Boosting (XGBoost) extraction-worthy classifier trained under 5-fold cross-validation is compared with a tuned rule baseline and two open-weight Large Language Model (LLM) judges. Results. The miner produces 5,382,249 slices collapsing to 692,020 recurring patterns. Three-author Fleiss' kappa = 0.56 (extraction-worthy) and 0.79 (mechanism). The classifier reaches out-of-fold F1 = 0.891 (95% CI [0.852, 0.927]), outperforming both the rule baseline (F1 = 0.836, p = 0.017) and the better LLM judge (F1 = 0.728, p < 1e-4). 75.0%, 59.5%, and 11.7% of scenarios carry a within-file Background, within-repo reusable-scenario, or cross-organisational shared-step candidate. Conclusion. Paraphrase-robust subscenario discovery yields a corpus-wide census of BDD refactoring opportunities; pipeline, classifier predictions, labelled pool, and rubric are released under Apache-2.0.",2026,ArXiv.org,String B
48,Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,Ali Hassaan Mughal|Noor Fatima|Muhammad Bilal,"Context. Behaviour-Driven Development (BDD) software test suites accumulate duplicated step subsequences. Three published refactoring patterns are available (within-file Background, within-repo reusable-scenario invocation, cross-organisational shared higher-level step), but no prior work automates which recurring subsequences are worth extracting or which mechanism applies. Objective. Rank recurring step subsequences (""slices"") by refactoring suitability (extraction-worthy), pre-map each to one of the three patterns, and quantify prevalence across the public BDD ecosystem. Method. Every contiguous L-step window (L in [2, 18]) in a 339-repository / 276-upstream-owner Gherkin corpus is keyed by paraphrase-robust cluster identifiers and counted under three scopes. Sentence-BERT (SBERT) / Uniform Manifold Approximation and Projection (UMAP) / Hierarchical Density-Based Clustering (HDBSCAN) recovers paraphrase-equivalent slices. Three authors label a stratified 200-slice pool against a written rubric. An eXtreme Gradient Boosting (XGBoost) extraction-worthy classifier trained under 5-fold cross-validation is compared with a tuned rule baseline and two open-weight Large Language Model (LLM) judges. Results. The miner produces 5,382,249 slices collapsing to 692,020 recurring patterns. Three-author Fleiss' kappa = 0.56 (extraction-worthy) and 0.79 (mechanism). The classifier reaches out-of-fold F1 = 0.891 (95% CI [0.852, 0.927]), outperforming both the rule baseline (F1 = 0.836, p = 0.017) and the better LLM judge (F1 = 0.728, p &lt; 1e-4). 75.0%, 59.5%, and 11.7% of scenarios carry a within-file Background, within-repo reusable-scenario, or cross-organisational shared-step candidate. Conclusion. Paraphrase-robust subscenario discovery yields a corpus-wide census of BDD refactoring opportunities; pipeline, classifier predictions, labelled pool, and rubric are released under Apache-2.0.",2026,arXiv (Cornell University),String B
49,Evaluasi Teknik Prompting pada Large Language Model untuk Otomatisasi Penyusunan Skenario Unit Testing Smart Contract,Salman El Farisi|Fahlia Athiyya Marva,"Automated unit testing is essential for ensuring the security and reliability of smart contracts, particularly because their immutable nature prevents post-deployment modifications. However, manually creating test scenarios remains time-consuming, costly, and highly dependent on expert knowledge. A potential solution is to utilize AI technology, particularly Large Language Models (LLMs), to automatically generate test scenarios. This study fills the research gap in leveraging LLM technology in the software testing space by proposing a workflow for automatically gener-ating unit test scenarios for blockchain smart contract code using Large Language Models (LLMs). The proposed workflow consists of two stages: converting Solidity smart contracts into structured Gherkin scenarios and translating those scenarios into executable Hardhat unit test scripts. This study proposes an automated workflow using Large Language Models (LLMs) to address these challenges. The workflow consists of two stages: con-verting Solidity smart con-tracts into structured Gherkin scenarios and trans-lating those scenarios into executable Hardhat unit test scripts. Using the Gemini 2.5 Pro model, the research evaluates three prompting tech-niques such as Chain-of-Thought, Few-Shot, and Role-Based through quantitative analysis based on code coverage metrics, including Statements, Branches, Functions, and Lines. The experimental results show that Role-Based Prompting achieves the highest average coverage (92.02%), fol-lowed by Few-Shot Prompting (89.52%), while Chain-of-Thought produces the lowest coverage (78.79%). Role-Based Prompting also attains the highest Branch coverage, demonstrating superi-or capability in capturing conditional logic within smart contracts.",2026,JTIM Jurnal Teknologi Informasi dan Multimedia,String B
50,DroidTraceGen,NILTON da Silva NASCIMENTO,"<b>Log Translation / Noise Filtering:</b> Conversion of raw accessibility events into a concise and human-readable grammar.<b>BDD (Behavior-Driven Development) Test Cases:</b> The final test format generated by the LLM based on the application's logs.<b>Inspection Mode (Inline Asserts):</b> The ability to mark verification points (text presence, toggle states, etc.) in real time without interrupting the execution flow.",2026,Figshare,String B
51,AN INTEGRATED FRAMEWORK FOR AI-DRIVEN QUALITY ENGINEERING: SCALING TEST AUTOMATION THROUGH LARGE LANGUAGE MODELS AND BEHAVIOR-DRIVEN DEVELOPMENT,Dmytro RUMIANTSEV,"The purpose of this research is to develop, substantiate and validate an integrated framework for AI-driven Quality Engineering that enables scalable and accelerated test automation using Large Language Models (LLMs) in combination with the Behavior-Driven Development (BDD) paradigm. The work seeks to address the significant limitations of traditional testing methodologies within distributed software architectures and CI/CD pipelines, where engineering teams face substantial challenges in maintaining reliability while increasing delivery velocity. The aim is to create a replicable, practical model that increases automation coverage, reduces testing debt, restores confidence in failing legacy suites, and enables rapid extensibility of automated test assets. Methodology. The research applies a qualitative case study methodology based on the implementation of an AI-assisted workflow within a large global connected services platform. The proposed framework combines MSpec (Machine Specifications) – a BDD-centric specification and testing language – with structured LLM prompting strategies and a multi-stage validation pipeline that ensures semantic correctness, deterministic consistency and executable reliability of AI-generated test code. Empirical evaluation included comparative measurement of time expenditures, diagnostic failure analysis, and validation of stability across large sets of integration tests. As a result, routine integration test creation time was reduced from approximately one working day to less than 30 minutes, while hundreds of legacy failing integration tests were successfully reconstructed and restored without manual rewriting. The scientific novelty lies in the conceptualization of a hybrid operational Quality Engineering model, in which LLMs act as scalable automation accelerators, while human engineers remain responsible for cognitive oversight, architectural direction and strategic validation. The framework formalizes the operational fusion of LLM prompt engineering, MSpec-based specification languages, and layered machine validation – forming a repeatable, transferable, and industry-applicable model of AI-augmented test engineering. Conclusions. The study empirically demonstrates that AI-assisted quality engineering has the capacity to radically increase test throughput, reduce regression backlog, improve maintainability and transform the economics of software testing in complex enterprise environments. The validated methodology provides organizations with a practical toolset to overcome the intrinsic constraints of legacy testing practices and meet modern system-level quality assurance demands at speed and scale.",2025,Information Technology Computer Science Software Engineering and Cyber Security,String B
52,DroidTraceGen,NILTON da Silva NASCIMENTO,"<b>Log Translation / Noise Filtering:</b> Conversion of raw accessibility events into a concise and human-readable grammar.<b>BDD (Behavior-Driven Development) Test Cases:</b> The final test format generated by the LLM based on the application's logs.<b>Inspection Mode (Inline Asserts):</b> The ability to mark verification points (text presence, toggle states, etc.) in real time without interrupting the execution flow.",2026,Figshare,String B
53,Powered by <scp>AI</scp>: advancing towards artificial intelligence algorithms in Australian hospital pharmacy,Nazanin Falconer|Ian Scott|Michael Barras,"Imagine hospitals where clinicians can quickly and accurately identify patients at risk of medication harm and why. This is what artificial intelligence (AI) promises, and it’s closer than we think. While the past decade brought electronic health records (EHRs) and decision support systems, AI-enabled machine learning (ML) prediction models and large language models have emerged, with the potential to greatly assist clinical decision-making and improve patient outcomes. For example, AI can predict optimal doses of pharmacokinetically complex medications1 and identify adverse drug reactions among coded discharge data. These new tools can support busy pharmacists by automating tedious tasks and discerning clinical scenarios warranting pharmacist intervention. This editorial highlights considerations relating to AI/ML technologies applied to medicine management in Australian hospitals, drawing insights from local experience in designing and evaluating a ML dosing algorithm for unfractionated heparin (UFH). Risk prediction algorithms are common, such as the CHADS-VASc and HAS-BLED scores, developed using conventional statistical (regression) methods. But with the availability of ‘big data’ from EHRs within multiple hospitals, clinician researchers, data scientists, and informaticians can now collaborate to develop more accurate real-time predictive algorithms using AI/ML. Some examples include predicting an individual’s likelihood of a medication-related hospital readmission, suffering a bleed with anticoagulant therapy, or rapid deterioration due to undertreated illness. Detecting and treating these conditions can optimise patient outcomes. Using large datasets to develop models simply because the data are available, without first defining a clear and useful clinical purpose, will generate tools irrelevant for improving diagnostic or treatment recommendations. Models must instead deal with everyday situations that clinicians, working in multidisciplinary teams, find problematic. In considering a UFH dosing algorithm, our team found that, using traditional weight-based dosing nomograms, only 30% of patients achieved therapeutic range at 36 h after infusion initiation. In the planning stages, pharmacists, internal medicine physicians, haematologists, clinical pharmacologists, academic researchers, and informatics experts came together to create a multisite, multidisciplinary expert group for co-designing the research question, study protocol, data collection, and model development. A key challenge with AI-derived algorithms is gaining the trust of end-users who may perceive them as ‘black boxes’ in understanding how predictions are generated.2 For pharmacists, this lack of transparency and explainability is concerning, especially when research reveals AI-related medication errors. Pharmacists must engage in model co-design and evaluation, develop skills in information technology and computer science, participate in user testing of human-machine interfaces, and monitor AI performance for impacts on process efficiency and clinical outcomes. Training in digital health and AI competencies must be incorporated into pharmacy undergraduate curricula and postgraduate courses.3 Pharmacy informaticians must collaborate with pedagogical experts within universities, the Australian Pharmacy Council, and the Australian Digital Health Agency in developing foundational AI courses. Training datasets for AI/ML models must not be biased or unrepresentative; otherwise, models may perpetuate or accentuate existing healthcare disparities. Data biased according to race, gender, or socioeconomic status can generate inaccurate models that adversely impact marginalised or minority populations. All involved must recognise most models are only truly generalisable to patient cohorts from which training data were derived, with model recalibration usually required when applied to new populations. We developed the UFH dosing algorithm using EHR data from one health district and validated it using EHR data from another health district. Bias can be further minimised if model development and validation follow, as we did, best practice guidelines and reporting standards (such as TRIPOD-AI4 and PROBAST-AI5) and align with ethical and responsible use frameworks for AI. While developing models in silico using static training datasets is relatively straightforward, significant implementation challenges arise in the ‘last mile’ of translating models into dynamic, real-world environments. This is where models — integrated into bolt-on apps or embedded directly within EHRs — must be able to operate and interact seamlessly within existing digital systems and clinical workflows. How this model-cum-tool is then adopted and used by pharmacists and others depends on adequate end-user testing and training and optimisation of user interfaces, display formats, and ergonomic design. For our UFH dosing algorithm, our team is configuring it for use in an app and applying human-centred design principles to build a digital prototype for feasibility and acceptance testing. We will also be guided by the recently published SALIENT framework outlining the what (key components), when (stages), and how (tasks) of successful AI implementation, as well as the who (organisation) and why (policy).6 Using large datasets of sensitive patient information to train models poses risks of unauthorised access and breaches of confidentiality, requiring robust data governance and protection measures to be established.7 Approval to deploy the app in routine care will require clinical trials demonstrating its efficacy and safety and satisfying the software as a medical device provisions of the Therapeutic Goods Administration. In realising the benefits of AI/ML, a comprehensive and coordinated national AI in healthcare strategy needs to be adopted by multiple stakeholders (including industry, health services, and academia) across multiple states and territories. The ultimate question is whether AI tools enable clinicians to work smarter and more efficiently, save healthcare costs, and render patient care more effective and safe. Machines don’t tire and are not influenced by emotions, and they can learn and process vast amounts of information faster and more accurately than humans. But human oversight and judgement remains crucial in ensuring the appropriate design and use of algorithms and monitoring their performance. Machines exist to augment, not usurp, clinician decision-making, empowering pharmacists to focus more on empathic patient interactions, education, and counselling and fostering interprofessional healthcare delivery; integral care components for which no machine can substitute. The future of hospital pharmacy is undeniably intertwined with the evolution of AI, and we should embrace and lead the agenda in using them as supportive tools to enhance our clinical practice. None. The authors declare that they have no conflicts of interest. Conceptualisation: NF, IS, MB. Investigation: NF. Writing — original draft: NF, IS, MB. Writing — review and editing: NF, IS, MB. Ethical approval was not required for this editorial as it did not contain any human data or participants. Not commissioned, not externally peer reviewed. This editorial received no specific grant from any funding agency in the public, commercial, or not-for-profit sectors. Data sharing not applicable to this editorial as no datasets were generated or analysed.",2024,Journal of Pharmacy Practice and Research,String B
54,Evaluating LLM Driving Explanations through an Ego-Centric Scenario Taxonomy,Shengheng Yan|Tsvetomila Mihaylova,"For human--robot interaction in autonomous driving, understanding when and why automated systems can effectively explain their behavior is critical for transparency, trust, and user understanding. Large language models (LLMs) can generate natural-language explanations of driving scenes, yet it remains unclear whether some types of driving situations are inherently easier or harder for them to describe. To investigate this question, we introduce an ego-centric taxonomy of driving scenarios and apply it to the BDD-X test set, creating a category-aligned evaluation benchmark. Using this dataset, we compare the explanation performance of RAG-Driver and GPT-4o across both top-level and fine-grained scenario categories. For each model, explanation performance differs significantly across scenario categories, indicating that scenario type is a meaningful factor influencing explanation quality. These findings highlight the importance of scenario-aware evaluation when assessing explanation quality in autonomous driving.",2026,,String B
55,Automatisering av Behavior-Driven Development med stora språkmodeller : En undersökning om generering av testfall för Fintech,"Tesfalidet, Noel","Behavior-Driven Development is used to improve collaboration across technical and non-technical teams by having test scenarios written in natural language. The scenarios are written based on test requirements manually by a tester, which often demands specific domain knowledge and a significant amount of time. To address this challenge, this thesis aims to investigate the possibility of automatically generating the test scenarios from the test requirements written in natural language by leveraging large language models. This thesis was conducted at Nasdaq, a large financial technology company, and the test scenarios were generated for internal projects at the host company. The evaluated projects include a regulatory reporting system, a management platform, and one open-source project (Flask). Atesting toolwas implemented using models from Amazon Bedrock to generate behavior-driven development Gherkin-formatted test scenarios directly from requirements and source code from the projects. The source code was fetched by using Retrieval augmented generation, where the codebases had been processed and stored in a vector database. The scenarios were evaluated with quantitative metrics and qualitatively by gathering feedback from domain experts at Nasdaq. The quantitative metrics focus on syntax correctness, execution success rates, and semantic similarity between requirements, while the feedback mostly involved rating the adequacy, readability, domain relevance, and maintainability of the tests. The results indicate that the generated Gherkin-formatted scenarios can adequately capture the intended behavior described in the requirements while also demonstrating high Gherkin syntax correctness, with 89% of scenarios being syntactically valid in the worst-performing project and 96% at best. However, the pass rates of the test execution are still relatively low across projects and vary significantly, with the highest pass rate achieved at 59 % steps passing and only 13 % in the worst project. This thesis shows that behavior-driven test scenarios are possible to generate and can support testers, managers, and non-technical stakeholders by reducing testing efforts and improving communication across teams.",2025,KTH Publication Database DiVA (KTH Royal Institute of Technology),String B
56,AutoMT: A Multi-Agent LLM Framework for Automated Metamorphic Testing of Autonomous Driving Systems,Linfeng Liang|Chenkai Tan|Yao Deng|Ying Cai|Tian-Yue Chen|Xi Zheng,"Autonomous Driving Systems (ADS) are safety-critical, where failures can be severe. While Metamorphic Testing (MT) is effective for fault detection in ADS, existing methods rely heavily on manual effort and lack automation. We present AutoMT, a multi-agent MT framework powered by Large Language Models (LLMs) that automates the extraction of Metamorphic Relations (MRs) from local traffic rules and the generation of valid follow-up test cases. AutoMT leverages LLMs to extract MRs from traffic rules in Gherkin syntax using a predefined ontology. A vision-language agent analyzes scenarios, and a search agent retrieves suitable MRs from a RAG-based database to generate follow-up cases via computer vision. Experiments show that AutoMT achieves up to 5 x higher test diversity in follow-up case generation compared to the best baseline (manual expert-defined MRs) in terms of validation rate, and detects up to 20.55% more behavioral violations. While manual MT relies on a fixed set of predefined rules, AutoMT automatically extracts diverse metamorphic relations that augment real-world datasets and help uncover corner cases often missed during in-field testing and data collection. Its modular architecture separating MR extraction, filtering, and test generation supports integration into industrial pipelines and potentially enables simulation-based testing to systematically cover underrepresented or safety-critical scenarios.",2025,ArXiv.org,String B
57,Prompt Engineering for Analyzing Acceptance Criteria for Functional Requirements,Lloyd Rutledge|Koen van der Kruk,,2025,Lecture notes in business information processing,String B
58,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,Jakub Jagielski|Consuelo Rojas|Mark J. Abel,,2025,,String B
59,"ATDLLMD: a test-driven framework for safe, reliable, and business-centric LLM development",Vamshidhar Reddy Parupally,,2026,IET conference proceedings.,String B
60,Private GPTs for LLM-driven testing in software development and machine learning,Jakub Jagielski|Consuelo Rojas|Markus Abel,"In this contribution, we examine the capability of private GPTs to automatically generate executable test code based on requirements. More specifically, we use acceptance criteria as input, formulated as part of epics, or stories, which are typically used in modern development processes. This gives product owners, or business intelligence, respectively, a way to directly produce testable criteria through the use of LLMs. We explore the quality of the so-produced tests in two ways: i) directly by letting the LLM generate code from requirements, ii) through an intermediate step using Gherkin syntax. As a result, it turns out that the two-step procedure yields better results -where we define better in terms of human readability and best coding practices, i.e. lines of code and use of additional libraries typically used in testing. Concretely, we evaluate prompt effectiveness across two scenarios: a simple ""Hello World"" program and a digit classification model, showing that structured prompts lead to higher-quality test outputs.",2025,ArXiv.org,String B
61,Shift-Up: A Framework for Software Engineering Guardrails in AI-native Software Development -- Initial Findings,Petrus Lipsanen|Liisa Rannikko|François Christophe|Konsta Kalliokoski|Vlad Stirbu|Tommi Mikkonen,"Generative AI (GenAI) is reshaping software engineering by shifting development from manual coding toward agent-driven implementation. While vibe coding promises rapid prototyping, it often suffers from architectural drift, limited traceability, and reduced maintainability. Applying the design science research (DSR) methodology, this paper proposes Shift-Up, a framework that reinterprets established software engineering practices, like executable requirements (BDD), architectural modeling (C4), and architecture decision records (ADRs), as structural guardrails for GenAI-native development. Preliminary findings from our exploratory evaluation compare unstructured vibe coding, structured prompt engineering, and the Shift-Up approach in the development of a web application. These findings indicate that embedding machine-readable requirements and architectural artifacts stabilizes agent behavior, reduces implementation drift, and shifts human effort toward higher-level design and validation activities. The results suggest that traditional software engineering artifacts can serve as effective control mechanisms in AI-assisted development.",2026,arXiv (Cornell University),String B
62,Shift-Up: A Framework for Software Engineering Guardrails in AI-native Software Development -- Initial Findings,Petrus Lipsanen|Liisa Rannikko|François Christophe|Konsta Kalliokoski|Vlad Stirbu|Tommi Mikkonen,"Generative AI (GenAI) is reshaping software engineering by shifting development from manual coding toward agent-driven implementation. While vibe coding promises rapid prototyping, it often suffers from architectural drift, limited traceability, and reduced maintainability. Applying the design science research (DSR) methodology, this paper proposes Shift-Up, a framework that reinterprets established software engineering practices, like executable requirements (BDD), architectural modeling (C4), and architecture decision records (ADRs), as structural guardrails for GenAI-native development. Preliminary findings from our exploratory evaluation compare unstructured vibe coding, structured prompt engineering, and the Shift-Up approach in the development of a web application. These findings indicate that embedding machine-readable requirements and architectural artifacts stabilizes agent behavior, reduces implementation drift, and shifts human effort toward higher-level design and validation activities. The results suggest that traditional software engineering artifacts can serve as effective control mechanisms in AI-assisted development.",2026,ArXiv.org,String B
63,Automated Issue Report Generation from Uncovered Code Segments,Diany Pressato|Shin Hwei Tan|Honghao Tan|Mariam Elmoazen,"Coverup_baseline/ contains the baseline replication package for the CoverUp evaluation. The main data artifact is output/cm.default/, which stores CoverUp's test generation results across 13 benchmark Python repositories (ansible, cookiecutter, dataclasses_json, docstring_parser, httpie, isort, mimesis, pysnooper, sanic, thonny, tornado, tqdm, youtube_dl). The source code includes the CoverUp tool itself and the evaluation harness (scripts and configurations) used to run it against these benchmarks. GPT interaction logs and test execution results were omitted. IssueSpecter/ contains the source code and generated data from the IssueSpecter tool. The data includes: all issues generated by IssueSpecter across the benchmark repositories, the rule-based rankings produced for those issues, and the LLM-based rankings. GPT interaction logs and test execution results were omitted to preserve anonymity and will be made available upon acceptance. /test-apps has the 13 GitHub repositories in the versions used in our evaluation",2026,Zenodo (CERN European Organization for Nuclear Research),String B
64,Automated Issue Report Generation from Uncovered Code Segments,IssueSpecter,"Coverup_baseline/ contains the baseline replication package for the CoverUp evaluation. The main data artifact is output/cm.default/, which stores CoverUp's test generation results across 13 benchmark Python repositories (ansible, cookiecutter, dataclasses_json, docstring_parser, httpie, isort, mimesis, pysnooper, sanic, thonny, tornado, tqdm, youtube_dl). The source code includes the CoverUp tool itself and the evaluation harness (scripts and configurations) used to run it against these benchmarks. GPT interaction logs and test execution results were omitted. IssueSpecter/ contains the source code and generated data from the IssueSpecter tool. The data includes: all issues generated by IssueSpecter across the benchmark repositories, the rule-based rankings produced for those issues, and the LLM-based rankings. GPT interaction logs and test execution results were omitted to preserve anonymity and will be made available upon acceptance. /test-apps has the 13 Python repositories used for evaluation",2026,Zenodo (CERN European Organization for Nuclear Research),String B
