            ID,Authors,Title,Venue,Year,Search_string,v1_decision,v1_reason
100,"Moradi, Milad; Yan, Ke; Colwell, David; Asgari, Rhona",An empirical study of LoRA-based fine-tuning of large language models for automated test case generation,https://api.semanticscholar.org/CorpusID:287248146,2026,String 2,EXCLUDE,EC4
101,"Bruches, Elena; Alperovich, Vadim; Baturova, Dari; Derunets, Roman; Grebenkin, Daniil; Mkrtchyan, Georgy; Sedukhin, Oleg; Klementev, Mikhail; Bondarenko, Ivan; Bushkov, Nikolay; Moiseev, Stanislav",TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,https://api.semanticscholar.org/CorpusID:285051210,2026,String 3,EXCLUDE,EC4
102,"Ficek, Aleksander; Majumdar, Somshubra; Noroozi, Vahid; Ginsburg, Boris",Scoring Verifiers: Evaluating Synthetic Verification in Code and Reasoning,https://api.semanticscholar.org/CorpusID:277502118,2025,String 3,EXCLUDE,EC4
103,"Boorlagadda, Subhang; Atluri, Nitya Naga Sai; Olmez, Muhammet Mustafa; Gehringer, Edward F.",Comparative Evaluation of Large Language Models for Test-Skeleton Generation,https://api.semanticscholar.org/CorpusID:281195515,2025,String 2,EXCLUDE,EC4
104,"Rezeki, Abdillah; Saputro, Setyo Wahyu; Saragih, Triando Hamonangan; Nugroho, Radityo Adi; Abadi, Friska",Empirical Performance of E2E Frameworks in React-Vue SPAs Using DIA,https://api.semanticscholar.org/CorpusID:287204511,2026,String 2,EXCLUDE,EC4
105,"Koohestani, Roham; Bekker, Philippe de; Koç, Begüm; Izadi, Maliheh","Benchmarking AI Models in Software Engineering: A Review, Search Tool, and Unified Approach for Elevating Benchmark Quality",https://api.semanticscholar.org/CorpusID:282401197,2025,String 3,EXCLUDE,EC4
106,"Tu, Jingxiang; Lin, Bo; Qin, Yihao; Wang, Shangwen; Chen, Liqian; Mao, Xiaoguang",Trace: Test Repair via Agent-based Context Extraction with LLMs,https://api.semanticscholar.org/CorpusID:286012437,2025,Exclude,EXCLUDE,EC4
107,"Ferdiansyah, Januri; Abudaqa, Anas; Lansonia, April",Leveraging Artificial Intelligence for Competitive Advantage in SMEs An Empirical Analysiss,https://api.semanticscholar.org/CorpusID:279112252,2025,Exclude,EXCLUDE,EC4
108,"Chang, Hung-Fu; Shirazi, Mohammad Shokrolah",A Systematic Approach for Assessing Large Language Models' Test Case Generation Capability,https://api.semanticscholar.org/CorpusID:276116496,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
109,"Rama, Sujeeth Manchikanti Venkata",Universal Automation Framework: Revolutionizing Test Automation Architecture,https://api.semanticscholar.org/CorpusID:276334620,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
110,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",Benchmarking LLMs for Unit Test Generation from Real-World Functions,https://api.semanticscholar.org/CorpusID:280417149,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
111,"Liu, Steven; Luo, Jane; Zhang, Xin; Liu, Aofan; Liu, Hao; Wu, Jie JW; Huang, Ziyang; Huang, Yangyu; Kang, Yu; Li, Scarlett",TestExplora: Benchmarking LLMs for Proactive Bug Discovery via Repository-Level Test Generation,https://api.semanticscholar.org/CorpusID:285470771,2026,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
112,"Paduraru, Ciprian Ionut; Zavelca, Miruna; Stefanescu, Alin",Agentic AI for Behavior-Driven Development Testing Using Large Language Models,https://api.semanticscholar.org/CorpusID:276706985,2025,"String 1, String 3",INCLUDE,"IC1, IC2, IC3, IC4"
113,"Augusto, Cristian; Bertolino, Antonia; Angelis, Guglielmo De; Lonetti, Francesca; Morán, Jesús",Large Language Models for Software Testing: A Research Roadmap,https://api.semanticscholar.org/CorpusID:281676475,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
114,"Bibilo, P. N.",Application of decision diagrams of incompletely specified of k-valued logic functions in the synthesis of logical circuits,https://api.semanticscholar.org/CorpusID:259431978,2023,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
115,"Ahammad, Abdellatif; Bajta, Manal El; Radgui, Maryam",MAGISTER: LLM-Based Test Generation with Role-Specialized Agents,https://api.semanticscholar.org/CorpusID:283726022,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
116,"Billington, Sarah L.","Summary for CIFE Seed Proposals for Academic Year 2020-21 Proposal number: 2020-04 Proposal title: Hybrid Physical-Digital Spaces: Transforming the Design, Operation, and Experience of Built Environments to Promote Health and Wellbeing",https://api.semanticscholar.org/CorpusID:235651121,2020,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
117,"Li, Minxiao; Yan, Shuying; Zhang, Li; Liu, Yang; Liu, Fang",Benchmarking Requirement-to-Architecture Generation with Hybrid Evaluation,https://api.semanticscholar.org/CorpusID:287248038,2026,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
118,"Santos, Shexmo Richarlison Ribeiro dos; Fernandes, Raiane Eunice S.; Santos, Marcos Cesar Barbosa dos; Soares, Michel S.; Rocha, Fábio Gomes; Marczak, Sabrina",Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,https://api.semanticscholar.org/CorpusID:274971136,2024,"String 1, String 3",INCLUDE,"IC1, IC2, IC3, IC4"
119,"Sai, Vikram; Karnam, Prasad",Leveraging AI for Intelligent Decision-Making in Test Automation Engineering,https://api.semanticscholar.org/CorpusID:278814102,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
120,"Zhang, Sai; Xing, Zhenchang; Chen, Jieshan; Zhao, Dehai; Zhu, Zizhong; Zhang, Xiaowang; Feng, Zhiyong; Li, Xiaohong",Think Like an Engineer: A Neuro-Symbolic Collaboration Agent for Generative Software Requirements Elicitation and Self-Review,https://api.semanticscholar.org/CorpusID:280272802,2025,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
